Fournisseurs,n_facture,Montant,Date_de_facture,Date_echeance,n_sem,Mis_en_paie,EMAIL,id_fournisseurs
Capsule Corp,115968610,74.0,2021-03-29,2021-04-12,15,2021-12-26 19:33:52,contact@capsule-corp.fr,1
Cyberdyne,21040827,1008.0,2021-04-09,2021-04-12,15,2021-12-26 19:34:04,contact@cyberdyne.fr,2
Geugène Industrie,2103006,2842.94,2021-03-15,2021-04-14,15,2021-12-26 19:34:05,contact@geugene.fr,3
Luthor Corp,F1920074,1325.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:15,contact@luther.fr,4
Luthor Corp,F1920110,444.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:16,contact@luther.fr,4
Luthor Corp,F1920112,757.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:17,contact@luther.fr,4
Luthor Corp,F1920113,925.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:17,contact@luther.fr,4
Luthor Corp,F1920116,1080.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:18,contact@luther.fr,4
Luthor Corp,F1920117,373.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:18,contact@luther.fr,4
Luthor Corp,F1920118,525.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:18,contact@luther.fr,4
Luthor Corp,F1920133,640.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:19,contact@luther.fr,4
Luthor Corp,F1920134,448.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:19,contact@luther.fr,4
Luthor Corp,F1920143,315.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:20,contact@luther.fr,4
Luthor Corp,F1920144,310.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:20,contact@luther.fr,4
Luthor Corp,F1920163,10056.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:21,contact@luther.fr,4
Luthor Corp,F1920164,321781.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:24,contact@luther.fr,4
Luthor Corp,F1920176,315.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:25,contact@luther.fr,4
