id,Fournisseurs,n_facture,Montant,Date_de_facture,Date_echeance,n_sem,Mis_en_paie,EMAIL,id_fournisseurs
1,Capsule Corp,115968610,74.0,2021-03-29,2021-04-12,15,2021-12-26 19:33:52,contact@capsule-corp.fr,1
2,Cyberdyne,21040827,1008.0,2021-04-09,2021-04-12,15,2021-12-26 19:34:04,contact@cyberdyne.fr,2
3,Geugène Industrie,2103006,2842.94,2021-03-15,2021-04-14,15,2021-12-26 19:34:05,contact@geugene.fr,3
4,Luthor Corp,F1920074,1325.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:15,contact@luther.fr,4
5,Luthor Corp,F1920110,444.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:16,contact@luther.fr,4
6,Luthor Corp,F1920112,757.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:17,contact@luther.fr,4
7,Luthor Corp,F1920113,925.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:17,contact@luther.fr,4
8,Luthor Corp,F1920116,1080.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:18,contact@luther.fr,4
9,Luthor Corp,F1920117,373.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:18,contact@luther.fr,4
10,Luthor Corp,F1920118,525.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:18,contact@luther.fr,4
11,Luthor Corp,F1920133,640.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:19,contact@luther.fr,4
12,Luthor Corp,F1920134,448.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:19,contact@luther.fr,4
13,Luthor Corp,F1920143,315.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:20,contact@luther.fr,4
14,Luthor Corp,F1920144,310.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:20,contact@luther.fr,4
15,Luthor Corp,F1920163,10056.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:21,contact@luther.fr,4
16,Luthor Corp,F1920164,321781.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:24,contact@luther.fr,4
17,Luthor Corp,F1920176,315.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:25,contact@luther.fr,4
18,Luthor Corp,F1920177,423.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:26,contact@luther.fr,4
19,Luthor Corp,F1920178,265.0,2021-01-15,2021-04-15,15,2021-12-26 19:34:30,contact@luther.fr,4
20,Drake & Sweeney,FAC7757,780.0,2021-03-17,2021-04-16,15,2021-12-26 19:34:30,,5
21,Slusho,FV-18156651,1343.0,2020-12-08,2021-04-16,15,2021-12-26 19:34:30,contact@slusho.fr,6
22,Pyramid Transnational,2021/5855,322043.02,2021-03-19,2021-04-19,16,2021-12-26 19:37:45,,7
23,Pyramid Transnational,2021/6133,319.99,2021-03-23,2021-04-23,16,2021-12-26 19:37:45,,7
24,Luthor Corp,F1920217,423.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
25,Luthor Corp,F1920218,3333.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
26,Luthor Corp,F1920226,260.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
27,Luthor Corp,F1920227,373.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
28,Luthor Corp,F1920228,3125.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
29,Luthor Corp,F1920229,1832.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
30,Luthor Corp,F1920230,553.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
31,Luthor Corp,F1920246,265.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
32,Luthor Corp,F1920247,310.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
33,Luthor Corp,F1920261,373.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
34,Luthor Corp,F1920262,1485.0,2021-01-25,2021-04-25,16,2021-12-26 19:37:45,contact@luther.fr,4
35,Sienar Technologies,11361,14180.0,2021-02-22,2021-04-25,16,2021-12-26 19:37:45,,8
36,Beaumont-Liégard,SI_02587,2720.2,2021-03-28,2021-04-27,17,2022-01-08 16:43:15,,9
37,Cordell SA,57622,8757.0,2021-03-29,2021-04-29,17,2022-01-08 16:43:15,,10
38,Cordell SA,57626,240.0,2021-03-29,2021-04-29,17,2022-01-08 16:43:15,,10
39,Luthor Corp,F1920283,1585.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
40,Luthor Corp,F1920288,3045.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
41,Luthor Corp,F1920289,310.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
42,Luthor Corp,F1920312,328.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
43,Luthor Corp,F1920313,4645.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
44,Luthor Corp,F1920342,2845.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
45,Luthor Corp,F1920343,688.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
46,Luthor Corp,F1920344,2765.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
47,Luthor Corp,F1920345,106794.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
48,Luthor Corp,F1920377,9169.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
49,Luthor Corp,F1920379,18.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
50,Luthor Corp,F1920399,795.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
51,Luthor Corp,F1920400,51559.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
52,Luthor Corp,F1920401,173014.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
53,Luthor Corp,F1920402,1990.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
54,Luthor Corp,F1920403,210958.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
55,Luthor Corp,F1920404,925.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
56,Luthor Corp,F1920406,138592.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:15,contact@luther.fr,4
57,Luthor Corp,F1920407,1260.0,2021-01-29,2021-04-29,17,2022-01-08 16:43:16,contact@luther.fr,4
58,Tech Con,2021-01225,388.76,2021-03-30,2021-04-29,17,2022-01-08 16:43:16,,11
59,Geugène Industrie,2103077,1305.79,2021-03-31,2021-04-30,17,2022-01-08 16:43:16,contact@geugene.fr,3
60,Sienar Technologies,11979,653.0,2021-03-31,2021-04-30,17,2022-01-08 16:43:16,,8
61,Sienar Technologies,11990,805.0,2021-04-01,2021-05-01,17,2022-01-08 16:43:16,,8
62,Factory Mode,F21-03-067,6609.6,2021-03-18,2021-05-02,17,2022-01-08 16:43:16,,12
63,Altra Automotive,FF29010,5830.8,2021-11-30,2021-05-03,18,2022-01-08 17:10:26,,13
64,Umbrella Corporation,2021-05-03 FA02,9185.0,2021-05-03,2021-05-04,18,2022-01-08 17:10:26,,14
65,LRCorp,10208,128722.0,2021-05-06,2021-05-06,18,2022-01-08 17:10:26,,15
66,Luthor Corp,F1920435,132727.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
67,Luthor Corp,F1920449,12641.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
68,Luthor Corp,F1920450,552.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
69,Luthor Corp,F1920451,373.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
70,Luthor Corp,F1920500,47651.8,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
71,Luthor Corp,F1920501,260.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
72,Luthor Corp,F1920526,383.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
73,Luthor Corp,F1920529,925.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
74,Luthor Corp,F1920530,1030.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
75,Luthor Corp,F1920532,423.0,2021-02-05,2021-05-06,18,2022-01-08 17:10:26,contact@luther.fr,4
76,Sienar Technologies,12018,805.0,2021-04-06,2021-05-06,18,2022-01-08 17:10:26,,8
77,Drake & Sweeney,Fac7791,720.0,2021-04-07,2021-05-07,18,2022-01-08 17:10:26,,5
78,Pyramid Transnational,2021/6167,335.76,2021-04-07,2021-05-07,18,2022-01-08 17:10:26,,7
79,Cordell SA,57685,7817.0,2021-04-08,2021-05-08,18,2022-01-08 17:10:26,,10
80,Sienar Technologies,11630,530.0,2021-03-10,2021-05-09,18,2022-01-08 17:10:26,,8
81,Sienar Technologies,13584,-57.0,2021-06-22,2021-05-09,18,2022-01-08 17:10:26,,8
82,Altra Automotive,FF30191,287761.0,2021-04-30,2021-05-10,19,2021-12-22 21:54:50,,13
83,Sienar Technologies,11686,2680.0,2021-03-12,2021-05-11,19,2021-12-22 21:54:50,,8
84,Sienar Technologies,11691,1013.0,2021-03-12,2021-05-11,19,2021-12-22 21:54:50,,8
85,Sienar Technologies,11768,245.0,2021-03-12,2021-05-11,19,2021-12-22 21:54:50,,8
86,Zorg Corporation,03-038121787,294.28,2021-04-21,2021-05-11,19,2021-12-22 21:54:50,,16
87,Zorg Corporation,03-038135431,545.5699999999999,2021-04-21,2021-05-11,19,2021-12-22 21:54:50,,16
88,Sienar Technologies,12237,805.0,2021-04-13,2021-05-13,19,2021-12-22 21:54:50,,8
89,Sienar Technologies,12245,300.0,2021-04-13,2021-05-13,19,2021-12-22 21:54:50,,8
90,Le Yankee,A/2108    A4940,3413.0,2021-05-14,2021-05-14,19,2021-12-22 21:54:50,,17
91,Geugène Industrie,2104007,2939.48,2021-04-15,2021-05-15,19,2021-12-22 21:54:50,contact@geugene.fr,3
92,Luthor Corp,F1920574,5742.5,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
93,Luthor Corp,F1920589,773.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
94,Luthor Corp,F1920590,47337.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
95,Luthor Corp,F1920591,340.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
96,Luthor Corp,F1920592,653.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
97,Luthor Corp,F1920593,1085.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
98,Luthor Corp,F1920594,1090.0,2021-02-16,2021-05-17,20,2021-12-26 22:47:49,contact@luther.fr,4
